"","x","y","weight","sd","CIlow","CIhigh","means"
"77",77,907,174,495.381860616688,162,931,694.505747126437
"78",78,852,167,503.000214928549,100,864,627.766467065868
"79",79,813,153,438.881126489685,791,822,708.960784313726
"80",80,1038,108,155.509976262628,1028,1047,935.740740740741
"81",81,973,116,161.354893709915,699,979,847.318965517241
"82",82,907.5,130,159.017016974716,641,918,789.261538461538
"83",83,854,117,160.347595737778,846,863,746.230769230769
"84",84,527,130,159.108710113149,514,791,652.123076923077
"85",85,466,101,161.03449541285,450,730,582.653465346535
"86",86,536,116,160.162368887939,396,674,536.655172413793
"87",87,336,107,155.420879540729,326,343,439.196261682243
"88",88,546,103,157.426074619525,279,553,422.281553398058
"89",89,491,120,161.315891364499,220,499,367.2
"90",90,166.5,116,163.478116815864,151,439,292.336206896552
"91",91,367.5,132,160.528508302398,100,376,240.840909090909
"92",92,310.5,98,158.235583861532,41,319,188.071428571429
"93",93,280,60,18.4912485026415,270,288,278.15
"94",94,220,52,17.748653635765,211,227,218.25
"95",95,151,76,15.8446404685921,146,159,151.526315789474
"96",96,94.5,70,18.0240522532345,89,103,95.2142857142857
"97",97,32,59,16.6472144422116,25,40,33.3559322033898
"98",98,2,7,1.39727626201154,0,4,2.42857142857143
